AcademicScore,AttendanceRate,StudentPerformance,DeviceUsage,LearningStyle,Indikator_Visual,Indikator_Auditory,Indikator_Kinestetik,LearningPace_Cluster,LearningStyle_Encoded
4.555555555555555,3.25,4.555555555555555,5.0,Kinesthetic,4.058855209576431,3.195941173719158,3.4399639783870324,1,1
4.151515151515151,4.79,4.151515151515151,4.448275862068965,Auditory,4.468592733246378,3.3077019860602634,2.568040824494697,1,0
3.585858585858586,4.19,3.585858585858586,1.1379310344827587,Visual,3.4948809451885903,2.2183668865482544,3.2660596357814686,0,2
4.717171717171717,4.23,4.717171717171717,4.448275862068965,Kinesthetic,4.471345500679852,2.313215306556952,2.893836301781069,1,1
3.303030303030303,4.23,3.303030303030303,1.4137931034482758,Auditory,3.4286498659618316,2.3826671990409594,2.640684410646388,0,0
3.8282828282828283,3.6,3.8282828282828283,1.2758620689655173,Kinesthetic,3.364817981691126,4.65755520099209,3.383129877926756,0,1
4.555555555555555,4.87,4.555555555555555,1.8275862068965516,Auditory,4.300780537908568,1.824384231886429,2.986091654992996,0,0
3.7474747474747474,4.89,3.7474747474747474,4.172413793103448,Kinesthetic,4.29984868733056,3.172265783654749,2.8602161296778066,1,1
3.909090909090909,4.25,3.909090909090909,3.3448275862068964,Visual,3.9748468963947587,2.8333564054007283,3.482989793876326,1,2
3.4242424242424243,4.57,3.4242424242424243,2.2413793103448274,Auditory,3.7449489912459697,2.903834999081371,3.430158094856914,0,0
3.4242424242424243,4.22,3.4242424242424243,1.8275862068965516,Auditory,3.539123056415825,3.3669753512479055,2.671102661596958,0,0
3.9494949494949494,3.97,3.9494949494949494,1.9655172413793105,Visual,3.674341825044057,3.1372449522054797,2.8626175705423256,0,2
4.434343434343434,4.32,4.434343434343434,1.6896551724137931,Kinesthetic,3.993943740748514,2.3433298794785284,3.0735441264758854,0,1
4.595959595959596,4.11,4.595959595959596,3.896551724137931,Visual,4.286062746795496,1.3727942632922274,3.2288373023814287,1,2
